1A,07:30,18:59,"20, 40","TD,NT","WK-Mon,WK-Tue,WK-Wed,WK-Thu,WK-Fri,WK-Sat",MTR||111.007334,SPORTC||108.7644112,SHAWHALL||106.038633597876,UADM||143.910911310229,SHHC||109.9029142,MTR||0,,,,,,,,,,,,,,,,
1B,07:30,18:59,00,"TD,NT","WK-Mon,WK-Tue,WK-Wed,WK-Thu,WK-Fri,WK-Sat",MTR||130.075935260388,JCPH|UPPERST|98.06716891,SPORTC||109.5625311,SHAWHALL||106.387098134767,UADM||146.0061792,SHHC||97.0736078282444,JCPH|DOWNST|140.7337043,MTR||0,,,,,,,,,,,,,,
2,07:30,18:59,"00, 15, 30","TD,NT","WK-Mon,WK-Tue,WK-Wed,WK-Thu,WK-Fri,WK-Sat",MTRP||162.511899867848,SPORTC||199.4459372,FKHB||218.8077325,UC|UPPERST|84.08508945,NAC||66.4929646,UC|DOWNST|92.55796198,UADM||152.4176838,SHHC||105.243766500931,MTR||0,,,,,,,,,,,,,
2#,07:30,18:59,45,"TD,NT","WK-Mon,WK-Tue,WK-Wed,WK-Thu,WK-Fri,WK-Sat",MTRP||162.511899867848,SPORTC||120.6658979,SHAWHALL||90.03217167,FKHB||218.8077325,UC|UPPERST|84.08508945,NAC||66.4929646,UC|DOWNST|92.55796198,UADM||152.4176838,SHHC||105.243766500931,MTR||0,,,,,,,,,,,,
3,09:00,18:59,"00, 20, 40","TD,NT","WK-Mon,WK-Tue,WK-Wed,WK-Thu,WK-Fri,WK-Sat",YIAP||79.54756274,SPORTC||126.0868326,SCIC||80.00911399,FKHB||669.1925832,RESI34|UPPERST|102.8883132,SHAWC|UPPERST|145.8532075,CWCC|DOWNST|61.57763302,RESI15||42.44737859,UCSR||53.2862827,CCHH||141.2395914,SHAWC|DOWNST|74.04654848,RESI34|DOWNST|102.4130648,UADM||117.3661056,SHHC||150.8830136,MTRP||0,,,,,,,
4,07:30,18:59,"10, 30, 50","TD,NT","WK-Mon,WK-Tue,WK-Wed,WK-Thu,WK-Fri,WK-Sat",YIAP||80.1041611,CCEE|UPPERST|86.82201875,CWCC|UPPERST|82.40423178,AREA39|UPPERST|70.78526733,CWCC|DOWNST|66.11212823,RESI15||61.43997804,UCSR||79.44915153,CCHH||139.8919688,SHAWC|DOWNST|121.3391505,RESI34|DOWNST|84.4033672294932,NAC||70.6538353,UC|DOWNST|106.0505666,UADM||134.1543619,SHHC||113.9745564,MTR||0,,,,,,,
5,08:30,18:00,"18, 50",TD,"WK-Mon,WK-Tue,WK-Wed,WK-Thu,WK-Fri,WK-Sat",CCTEA||109.6616185,SPORTC||128.6726713,SHAWHALL||89.87351812,FKHB||54.53327263,UC|UPPERST|83.5202093,NAC||101.5325036,RESI34|UPPERST|102.4537056,SHAWC|DOWNST|0,,,,,,,,,,,,,,
5#,08:30,18:00,23,TD,"WK-Mon,WK-Tue,WK-Wed,WK-Thu,WK-Fri,WK-Sat",CCTEA||110.0870594,SPORTC||129.1019999,SHAWHALL||90.77544927,FKHB||56.33493148,UC|UPPERST|84.37193529,NAC||102.7172202,RESI34|UPPERST|102.6049391,SHAWC|UPPERST|147.2959904,CWCC|DOWNST|0,,,,,,,,,,,,,
6A,09:00,18:00,10,TD,"WK-Mon,WK-Tue,WK-Wed,WK-Thu,WK-Fri,WK-Sat",CWCC|DOWNST|79.15145914,UCSR||59.46052583,CCHH||60.83817292,RESI34|DOWNST|84.9123004,NAC||72.77838558,UC|DOWNST|104.955181,UADM||130.4824355,SHHC||141.03864395,MTRP||53.77101378,CCTEA||0,,,,,,,,,,,,
6B,12:00,18:00,20,TD,"WK-Mon,WK-Tue,WK-Wed,WK-Thu,WK-Fri",NAC||72.87519861,UC|DOWNST|105.3187312,UADM||130.081619,SHHC||140.6760357,MTRP||69.61871424,CCTEA||0,,,,,,,,,,,,,,,,
7,08:00,18:00,"18, 50",TD,"WK-Mon,WK-Tue,WK-Wed,WK-Thu,WK-Fri,WK-Sat",SHAWC|DOWNST|75.59316101,RESI34|DOWNST|87.36965664,NAC||63.11282739,UC|DOWNST|104.9707795,UADM||129.3226955,SHHC||150.9387146,MTRP||70.70749831,CCTEA||0,,,,,,,,,,,,,,
8,07:30,18:59,"00, 20, 40 (教學日 Teaching Days)",TD,"WK-Mon,WK-Tue,WK-Wed,WK-Thu,WK-Fri,WK-Sat",AREA39|UPPERST|70.35903784,CWCC|DOWNST|78.94271472,UCSR||59.9674386,CCHH||135.5667308,SHAWC|DOWNST|74.6484881,RESI34|DOWNST|101.2146671,UADM||127.1343419,SCIC||86.81421347,NAC||46.80065014,UC|DOWNST|50.53401593,RESI34|UPPERST|89.10393723,SHAWC|UPPERST|159.3783566,AREA39|DOWNST|73.80663634,CCEN||86.88213733,CCEE|DOWNST|79.98307573,MTR||0,,,,,,
