建築物,最近之車站
YIAP,SHHC
YIAP,MTRP
YIAP,MTR
YIAP,CCTEA
YIAP,YIAP
YIAE,YIAP
YIAE,MTRP
YIAE,MTR
YIAE,CCTEA
YCT,YIAP
YCT,MTR
YCT,MTRP
YCT,CCTEA
WYST,RESI34
WYSH,SHAWC
WTY,SHAWHALL
WTY,SCIC
WTY,SPORTC
WS1,CCHH
WMY,YIAP
WMY,MTRP
WMY,MTR
WMY,CCTEA
WLS,SHAWC
WCSB,UC
WCS,UADM
UNIMALL,SHAWHALL
UNIMALL,UADM
UNIMALL,SCIC
ULIB,SHAWHALL
ULIB,SCIC
ULIB,UADM
UHS,SHAWHALL
UG,YIAP
UG,SPORTC
UCWT,UC
UCTC,UC
UCSY,UC
UCSUM,UC
UCSR,UCSR
UCSG,UC
UCSFC,UC
UCSCR,UC
UCREL,UC
UCPG,UC
UCOM,UC
UCMIR,UC
UCMDM,UC
UCHSH,CCHH
UCG,UC
UCCAN,UC
UCC,UC
UCBH,UC
UCASR,UC
UCA,UC
UC TT,UC
UC,UC
UC,UC
UADM,UADM
THRB,YIAP
THRB,MTRP
THRB,CCTEA
THRB,MTR
TCP,MTRP
TCP,MTR
TCP,YIAP
TCP,CCTEA
TC,YIAP
TC,SPORTC
SWH,FKHB
SWC LT,SHAWC
SPORTC,SPORTC
SP,UADM
SOVC,UADM
SHHCR,SHHC
SHHC,SHHC
SHCAN,SHHC
SHC,SHHC
SHB,SHAWHALL
SHB,SCIC
SHB,SPORTC
SHAWSHII,SHAWC
SHAWKMH,SHAWC
SHAWHALL,SHAWHALL
SHAWC,SHAWC
SCTT,SHAWC
SCSH,SHAWC
SCIM,SHAWHALL
SCIM,SCIC
SCIC,SHAWHALL
SCIC,SCIC
SB,YIAP
SB,MTRP
SB,CCTEA
SB,MTR
RESI34,RESI34
RESI15,RESI15
RESI10,RESI10
PSC,MTRP
PSC,MTR
PSC,YIAP
PSC,CCTEA
Paper&Coffee,MTRP
Paper&Coffee,MTR
Paper&Coffee,YIAP
Paper&Coffee,CCTEA
ORLO,CCTEA
ORLO,YIAP
ORLO,MTRP
ORLO,MTR
NAYCH,NAC
NAXH,NAC
NAWT,NAC
NATT,NAC
NASC,NAC
NAPH,NAC
NAH,NAC
NAGTH,NAC
NAG,NAC
NADLH,NAC
NACT,NAC
NACSF,NAC
