Code,Append to js?,中文,ENG
//WEBSITE,,,
WEB-Title,,中大巴士資訊站,CU BUS INFOPAGE
DescTxt1,,請選擇路綫,Select Route
Btn-Map,,地圖查詢,Map Search
Btn-Adv,,偏好設定,Preference
Form-Start,,出發點： ,FROM:    
Form-Dest,,目的地： ,DEST: 
route-submit,,帶我去,GO!
table-line,,路線,No.
table-route,,中途站,Route
table-est,,行車時間,Travel time
table-transfer,,轉乘站： ,Interchange Station: 
New-Feature,,敬請期待,Coming Soon
mode-map,,地圖搜索,Map
mode-station,,站名搜索,Station
mode-building,,找建築物,Building
No-BUS,,在一次轉乘次數内，該地點無法到達。<br>（或已過服務時間）,This location cannot be reached. <br> (or not in service currently)
No-bus-time,,已過服務時間 或 30分鐘內沒有校巴,No school bus in 30 minutes (or not in service currently)
Update-Request,,請按此修改/更新數據，感激不盡！,Click here to update or amend! Thanks!
info-running,,運作中路線： ,Operating: 
stop-running,,目前所有巴士停止運作。,All bus service suspended currently.
building-error,,輸入的建築物無效，請重新輸入！,"Invalid inupt, please enter again!"
info-deptnow,,現在出發,Depart Now
bus-time-reminder,,"請注意：5, 6A, 6B, 7線只在教學日開出、H線只在假日開出。","Note: Lines 5, 6A, 6B, and 7 are only available on school days, and Line H is only available on holidays."
info-sch,,開出時間 (分鐘)： ,Departure time (min) : 
last-update,,最後更新： ,Last Update: 
samestation-info,,起點或終點相同/接近 請自行衡量是否需要乘坐巴士,Same starting point and end point. <br> Please consider whether you should take a bus.
fetch-error,,錯誤：中大伺服器故障 (大部分功能仍可使用),Error: Unable to fetch data from CUHK server (Most services still works)
showallroute-info,,顯示所有可能路線,Show all possible routes
nearst_txt,Y,最近之車站,Stations Nearby
nearst_warning,Y,你選擇的車站至少距離你500m，是否仍要搜尋？,"The station you chose is at least 500m from you, continue? "
refresh-btn,,刷新,Refresh
cancel_btntxt,Y,取消,Cancel
continue_btntxt,Y,繼續,Continue
beta_version_notice,Y,目前此功能仍處於測試階段 數據可能不準確 敬請留意,This function is still in the test phase. Data probably not accurate.
GPS-error,Y,沒有權限獲取GPS / 地址錯誤,No permission / Address Error
GPS-notsupp,Y,此瀏覽器不支持GPS,GPS is not supported by this browser
addhomeios-heading,,添加到主屏幕 (Safari 適用),Add to Home Screen (For Safari)
addhomeios-text1,,1) 點擊下方菜單欄上的「共享」按鈕。,1) Press the 'Share' button on the menu bar below.
addhomeios-text2,,2) 點擊「添加到主屏幕」。,2) Press 'Add to Home Screen'.
delay-alert,,服務受阻：,Delay: 
suspended-alert,,服務暫停：,Suspension: 
